id,name,sort_order,indicator_filter_type_id
338,Number of children 5 to 9 years enrolled in school,,
339,Number of children 5 to 9 years not enrolled in school,,
340,"Enrolled, public",1,50
341,Male,1,50
342,Female,2,50
343,"Enrolled, private",2,50
344,Male,1,50
345,Female,2,50
346,Not enrolled,3,50
347,Male,1,50
348,Female,2,50
349,Graduation Rate,,
350,Graduated,1,51
351,Not Graduated,2,51
352,Number of evictions filed,,
353,Land Contract,1,7
354,Garnishment,2,7
355,1980s,3,7
356,Appeal,4,7
357,Non-payment,5,7
358,Haz/inj,6,7
359,Trespass,7,7
360,Money Judgment,8,7
361,Cases filed where the landlord has a certificate of compliance,,
362,represented,1,8
363,unrepresented,2,8
364,represented,1,9
365,unrepresented,2,9
366,January,1,10
367,February,2,10
368,March,3,10
369,April,4,10
370,May,5,10
371,June,6,10
372,July,7,10
373,August,8,10
374,September,9,10
375,October,10,10
376,November,11,10
377,December,12,10
